model,mae_15 min,mape_15 min,rmse_15 min,mae_30 min,mape_30 min,rmse_30 min,mae_1 hour,mape_1 hour,rmse_1 hour
STGFORMER_BS200_SHORT,2.616086959838867,0.0663609728217125,4.94374442889916,2.8616139888763428,0.0753272846341133,5.630361079126955,3.1667158603668213,0.0868264585733413,6.440244515557311
STGFORMER_BS200_XAVIER,2.618782520294189,0.0663360729813575,4.961604324340412,2.8718414306640625,0.0756497010588646,5.670653829132362,3.1927711963653564,0.0876442268490791,6.510656571100675
STGFORMER_DOW,2.60683012008667,0.0666341334581375,4.953454809911261,2.8433687686920166,0.0757939741015434,5.6412437712459385,3.1271004676818848,0.0870486125349998,6.417215332089785
STGFORMER_GEO,2.6013245582580566,0.0678029656410217,4.958603966430314,2.8466625213623047,0.0774831846356391,5.677249600370089,3.148848056793213,0.0894753336906433,6.503947306552095
STGFORMER_SPECTRAL_INIT,2.60105037689209,0.0659917220473289,4.928908974282018,2.8462255001068115,0.0748552307486534,5.627872835448358,3.151935815811157,0.0860797390341758,6.4377491726845335
STGFORMER_CHEBYSHEV,2.593834400177002,0.0668439418077468,4.897970807051977,2.836094856262207,0.075746089220047,5.6086134539740415,3.139801263809204,0.0871349349617958,6.429693432940762
STGFORMER_HYBRID,2.5947444438934326,0.067293994128704,4.936123233499539,2.837149381637573,0.0768584534525871,5.6438910414940535,3.1357133388519287,0.0886785089969635,6.455374484970716
STGFORMER_GEO_CHEB,2.591757297515869,0.0668089836835861,4.92137099819055,2.835428237915039,0.0758445635437965,5.63318208495178,3.136165142059326,0.0873423814773559,6.431579830509059
STGFORMER_HYBRID_CHEB,2.5967345237731934,0.0667722895741462,4.898198026069168,2.8388335704803467,0.0754045024514198,5.604153298665757,3.143118143081665,0.0865571275353431,6.419256637175817
STGFORMER_BS100_SHORT,2.611633062362671,0.0661932900547981,4.941376721440923,2.858121633529663,0.0751711577177047,5.63352913074202,3.16660737991333,0.0864566192030906,6.453263620730412
STGFORMER_MAMBA,2.604900360107422,0.0679824203252792,4.94945055291563,2.846974849700928,0.0771232470870018,5.630842099674332,3.143471956253052,0.0874863415956497,6.430229154926229
STGFORMER_MAMBA_FAST,2.6016969680786133,0.0660630613565445,4.957146873959343,2.8452706336975098,0.0752289593219757,5.661614503317908,3.1506972312927246,0.0866824015974998,6.491379523466162
STGFORMER_TCN,2.5922443866729736,0.0663093701004982,4.903044996222791,2.8323662281036377,0.0752996057271957,5.589935536567351,3.1346006393432617,0.0863208323717117,6.386899426439034
STGFORMER_DEPTHWISE,2.635817050933838,0.0681272372603416,4.910383293589801,2.884962797164917,0.0777728259563446,5.602525019183419,3.195351839065552,0.0896460711956024,6.439744576548176
STGFORMER_MLP,2.626084804534912,0.0669360533356666,4.941835262688327,2.87595534324646,0.0759204551577568,5.642040297036074,3.186732292175293,0.0871878489851951,6.469232660982586
STGFORMER_PRETRAIN,2.669745922088623,0.0671662092208862,5.028764193574322,2.90507435798645,0.0758614167571067,5.683074570896386,3.2141335010528564,0.0874710753560066,6.485141203320245
STGFORMER_PRETRAIN_IMPUTE,2.6409599781036377,0.0654931589961052,5.101933931671367,2.870741605758667,0.0740796476602554,5.73713937594287,3.161531448364258,0.0859926268458366,6.473072911113984
STGFORMER_PRETRAIN_STAGE1ONLY,2.65422797203064,0.0674722120165824,5.034849597006602,2.8993611335754395,0.0760602056980133,5.724823941517935,3.21526312828064,0.0876264423131942,6.546943172564212
STGFORMER_PRETRAIN_STAGE1ONLY_IMPUTE,2.8132529258728027,0.0692357867956161,5.772869242162806,3.13650131225586,0.0790790095925331,6.608693333457348,3.513751745223999,0.0914334803819656,7.433401052169362
STGFORMER_PRETRAIN_STAGE2ONLY,2.6484220027923584,0.0671901851892471,4.982245776729238,2.9040799140930176,0.0764257311820983,5.668408219739072,3.227978229522705,0.0885884910821914,6.497589838244231
STGFORMER_PRETRAIN_STAGE2ONLY_IMPUTE,2.739340305328369,0.068509042263031,5.254043112181152,3.007749080657959,0.0777017176151275,5.938666299411972,3.367652177810669,0.0901568382978439,6.782162653249106
STGFORMER_CHEB_TCN,2.570357084274292,0.0648562312126159,4.817918773557079,2.8089449405670166,0.0736822560429573,5.499662562336034,3.117077112197876,0.0854151099920272,6.3245447650875
