model,mae_15 min,mape_15 min,rmse_15 min,mae_30 min,mape_30 min,rmse_30 min,mae_1 hour,mape_1 hour,rmse_1 hour
DCRNN,1.099426507949829,0.0222231578081846,2.2405683140520583,1.3302000761032104,0.0283611975610256,2.941693984671194,1.5926011800765991,0.035876240581274,3.704932693096594
MTGNN,1.116595983505249,0.0225317701697349,2.26560416376464,1.3415600061416626,0.0284206978976726,2.950953416798584,1.5938618183135986,0.0354774668812751,3.6564994792105856
GWNET,1.0961157083511353,0.0222984217107296,2.2126110199913933,1.3187024593353271,0.0280513111501932,2.8750053073999924,1.5729739665985107,0.0351572223007679,3.594521348521328
STGFORMER,1.0932552814483645,0.0220842827111482,2.238094408582014,1.3052666187286377,0.0276586171239614,2.885801342456296,1.5387731790542605,0.0342282801866531,3.547194411898054
AR,5.856746735041871,0.1498309030522246,11.313036910347469,5.785367198981764,0.1485340830468159,11.142635401878168,5.6746107921059545,0.1464550428716432,10.866415094882004
VAR,6.057176847894636,0.1538969940175985,11.332777063181185,6.3047578609938215,0.1587659932638651,11.412824887085574,6.914657821992424,0.16998938345869,11.828701525203275
STGFORMER_INTERNAL_1st_run,1.1097537279129028,0.0230705887079238,2.2859686556692216,1.3255659341812134,0.0287661086767911,2.9561437285276537,1.561413288116455,0.0352283790707588,3.636612018858763
STGFORMER_INTERNAL_2nd_run,1.1110796928405762,0.023069554939866,2.2883900771175463,1.324087619781494,0.0287851449102163,2.9476477474491407,1.5570120811462402,0.03534422442317,3.613977577541017
STGFORMER_INTERNAL_3rd_run,1.1088931560516355,0.0231487788259983,2.2860538643392463,1.3198206424713137,0.0288036651909351,2.938478509782505,1.5514321327209473,0.0353450402617454,3.602595580379719
STGFORMER_INTERNAL_4th_run,1.10995352268219,0.023089550435543,2.28236988745506,1.3235421180725098,0.0287795644253492,2.943917913163232,1.5559476613998413,0.0352218076586723,3.6061954117317625
STGFORMER_INTERNAL,1.1092588901519775,0.0230529196560382,2.2900608216250378,1.3253774642944336,0.028709627687931,2.960089650214109,1.5634130239486694,0.0351902693510055,3.6367609695622622
STGFORMER_BS200,1.115338921546936,0.0232983455061912,2.305844291419252,1.3278625011444092,0.0287643875926733,2.9534960316892422,1.5644755363464355,0.0351611711084842,3.618777228534625
STGFORMER_INTERNAL_DOW,1.1185779571533203,0.0232189930975437,2.297631898068047,1.3323516845703125,0.0288562960922718,2.9585100756936686,1.5648918151855469,0.035290565341711,3.6198750804191233
STGFORMER_FINAL,1.1066293716430664,0.02252313308417797,2.228076620767121,1.3153852224349976,0.02790769189596176,2.871500124036443,1.549425482749939,0.03445615991950035,3.541248850393058
