model,mae_15 min,mape_15 min,rmse_15 min,mae_30 min,mape_30 min,rmse_30 min,mae_1 hour,mape_1 hour,rmse_1 hour
STGFORMER_BS200_SHORT,1.1376415491104126,0.0237234067171812,2.348952051620937,1.3559187650680542,0.0293378327041864,3.000932071851298,1.5993928909301758,0.0359416864812374,3.677035726755976
STGFORMER_BS200_XAVIER,1.136647343635559,0.0236310735344886,2.326098283168926,1.3532277345657349,0.0292370114475488,2.975489946299975,1.595451593399048,0.0359103679656982,3.648245110023791
STGFORMER_DOW,1.1347724199295044,0.023643635213375,2.3324027476423264,1.347248077392578,0.0292116142809391,2.971500608205051,1.5809729099273682,0.035716712474823,3.622511831913192
STGFORMER_GEO,1.1281250715255735,0.0236292127519845,2.3270403492326444,1.3449068069458008,0.0292798820883035,2.978977615297955,1.5949907302856443,0.0362085253000259,3.662550103687856
STGFORMER_SPECTRAL_INIT,1.1282867193222046,0.0237636249512434,2.3188004110362592,1.3448162078857422,0.0296504888683557,2.978212715130083,1.5865904092788696,0.0366275459527969,3.655184468260019
STGFORMER_CHEBYSHEV,1.1264220476150513,0.0234684608876705,2.3276086016925914,1.343876838684082,0.0291067250072956,2.9784563902921377,1.593172550201416,0.0361348241567611,3.663908151982933
STGFORMER_HYBRID,1.138413906097412,0.0239759869873523,2.355829771093377,1.3486241102218628,0.0294428430497646,2.9892624384867017,1.5943186283111572,0.0363337285816669,3.6578157121007897
STGFORMER_GEO_CHEB,1.138451099395752,0.0239921025931835,2.342228510054164,1.3545098304748535,0.0298505071550607,2.9955731154655694,1.5990214347839355,0.0367422997951507,3.675027995100242
STGFORMER_HYBRID_CHEB,1.1257741451263428,0.023610571399331,2.327670878725239,1.342624306678772,0.0292495042085647,2.979916902702033,1.588794231414795,0.036078605800867,3.65853992710116
STGFORMER_BS100_SHORT,1.1384657621383667,0.0237411353737115,2.352847334448972,1.3568191528320312,0.0293604135513305,3.006230084200614,1.6006691455841064,0.0359882153570652,3.6862402881741447
STGFORMER_MAMBA,1.1405797004699707,0.0237964186817407,2.338136180452252,1.357286810874939,0.0294302478432655,2.991036216024281,1.598003625869751,0.0360078290104866,3.660309844320984
STGFORMER_MAMBA_FAST,1.1456676721572876,0.0236991178244352,2.3624463837206107,1.3635332584381104,0.0293434932827949,3.0046031922222944,1.6025491952896118,0.0361711420118808,3.657324347824906
STGFORMER_TCN,1.1344164609909058,0.0235523302108049,2.297871380034337,1.3578026294708252,0.0293732360005378,2.95213842311401,1.602916240692139,0.0361746698617935,3.635706251501156
STGFORMER_DEPTHWISE,1.1396827697753906,0.0237336419522762,2.322306075197017,1.3540085554122925,0.0292741190642118,2.965821598719675,1.6021393537521362,0.0361415930092334,3.659133165611992
STGFORMER_MLP,1.1536518335342407,0.0241118036210536,2.346274986723418,1.3784502744674685,0.0299561507999897,3.0251299239071625,1.6303077936172483,0.0368063896894454,3.739971101822616
STGFORMER_PRETRAIN,1.2927134037017822,0.0267280060797929,2.531021107815098,1.5082998275756836,0.0322625264525413,3.156577518201948,1.7718480825424194,0.0394253991544246,3.8534267780716895
STGFORMER_PRETRAIN_IMPUTE,1.191257357597351,0.0245879888534545,2.40256872596846,1.3970749378204346,0.030013995245099,3.012687556969353,1.6297495365142822,0.0365281887352466,3.6542482031349137
STGFORMER_PRETRAIN_STAGE1ONLY,1.1572234630584717,0.0240784455090761,2.387803351019436,1.3771812915802002,0.0298360418528318,3.0330880481631515,1.6204479932785034,0.0366543494164943,3.712173416723696
STGFORMER_PRETRAIN_STAGE1ONLY_IMPUTE,1.1674045324325562,0.0240787714719772,2.3670353100894386,1.3882219791412354,0.0299565512686967,2.999106592027332,1.630765676498413,0.0370623879134655,3.667319860942509
STGFORMER_PRETRAIN_STAGE2ONLY,1.1522880792617798,0.0242817159742116,2.3641446640753143,1.3788819313049316,0.0303476452827453,3.039765499757846,1.6346744298934937,0.0374178029596805,3.7456830926340174
STGFORMER_PRETRAIN_STAGE2ONLY_IMPUTE,1.1435655355453491,0.0237469878047704,2.3782925119441014,1.3573355674743652,0.0293299630284309,3.0209857946047367,1.5967183113098145,0.0359936170279979,3.689360068638524
STGFORMER_CHEB_TCN,1.1252667903900146,0.0232821088284254,2.2933618575732284,1.3426622152328491,0.0289328135550022,2.934366543466166,1.5910732746124268,0.0358056835830211,3.62393330631823
STGFORMER_CHEB_TCN_XAVIER,1.1244782209396362,0.0232721548527479,2.274857854070356,1.3383910655975342,0.0288309045135974,2.91930304766714,1.5828522443771362,0.035607635974884,3.603865476750169
STGFORMER_CHEB_TCN_DOW,1.12539803981781,0.0233960002660751,2.2882699473197303,1.3378431797027588,0.0289680138230323,2.9211109814845964,1.5766721963882446,0.0357021391391754,3.591366848450451
STGFORMER_BS200_EXCLUDE_MISSING,1.1341683864593506,0.023148750886321,2.316587907380873,1.35188627243042,0.0287718418985605,2.968067934086506,1.5944548845291138,0.035597588866949,3.6372805447267007
STGFORMER_PRETRAIN_IMPUTE_NORM,1.2867451906204224,0.0274396762251853,2.5752527131448786,1.4783285856246948,0.0323287211358547,3.158131104959204,1.7057149410247805,0.0387860387563705,3.77477359219096
STGFORMER_PRETRAIN_IMPUTE_NORM_LR0.0003,1.1528741121292114,0.0238933432847261,2.400994841697582,1.3796135187149048,0.0297609157860279,3.0528808870991724,1.6394113302230835,0.036725390702486,3.742275547592519
STGFORMER_PRETRAIN_STAGE1ONLY_NORM,1.1546050310134888,0.0239117294549942,2.3349408221046444,1.3844516277313232,0.0297813732177019,3.017311217716546,1.647368550300598,0.0367935523390769,3.734085901793457
STGFORMER_PRETRAIN_STAGE1ONLY_NORM_IMPUTE,1.1562803983688354,0.0241251960396766,2.36877770722221,1.3814641237258911,0.0299022831022739,3.0414725115397885,1.6359634399414062,0.036882497370243,3.741788392894134
STGFORMER_PRETRAIN_STAGE2ONLY_NORM,1.171308159828186,0.0242284908890724,2.3547470480129564,1.3882694244384766,0.0298403538763523,3.008259846502152,1.6317256689071655,0.036377839744091,3.67849018679149
STGFORMER_PRETRAIN_STAGE2ONLY_NORM_IMPUTE,1.1413064002990725,0.0236647967249155,2.362925201581773,1.3578059673309326,0.0293366499245166,2.9993895863366933,1.6035579442977903,0.0360147356986999,3.658806453226299
STGFORMER_CHEB_TCN_XAVIER_DOW,1.1230802536010742,0.0232211630791425,2.2796312624588086,1.3338485956192017,0.0286625437438488,2.912302912645744,1.570360779762268,0.0352140255272388,3.5747016622197934
STGFORMER_CHEB_TCN_XAVIER_DOW_EXCLUDE_MISSING,1.1253595352172852,0.0229023192077875,2.2585849166692102,1.3379795551300049,0.0284271892160177,2.901527752152095,1.5768184661865234,0.0352142006158828,3.576774375575968
STGFORMER_CHEB_TCN_XAVIER_DOW_STAGE1_NORM_IMPUTE,1.1247090101242063,0.0228043962270021,2.256470277975529,1.3525340557098389,0.0290634017437696,2.928649555719298,1.603673219680786,0.036811277270317,3.6447388813695145
STGFORMER_CHEB_TCN_XAVIER_DOW_STAGE2_NORM_IMPUTE,1.1125725507736206,0.0226499233394861,2.2345197937473458,1.3281718492507937,0.0283942744135856,2.891188612969441,1.57722008228302,0.0352996066212654,3.598190748373706
STGFORMER_CHEB_TCN_XAVIER_DOW_PRETRAIN_NORM_IMPUTE,1.143937349319458,0.0234155766665935,2.287761331441165,1.3921759128570557,0.0299172159284353,2.991728187148085,1.662211775779724,0.0374388806521892,3.741541032161631
STGFORMER_CHEB_TCN_EXCLUDE_MISSING,1.1208699941635132,0.0226915590465068,2.2578478747701864,1.3369359970092771,0.0283996611833572,2.9027115805671246,1.5808067321777344,0.0355068631470203,3.591571446076286
STGFORMER_CHEB_TCN_XAVIER_DOW_EXCLUDE_MISSING_K8,1.126998782157898,0.0229547470808029,2.267125441834318,1.3406996726989746,0.0285714007914066,2.913870224732816,1.5790486335754397,0.0354178622364997,3.5871344669215923
STGFORMER_CHEB_TCN_XAVIER_DOW_EXCLUDE_MISSING_K16,1.1248518228530884,0.0229077376425266,2.256950240168506,1.337588906288147,0.0284431017935276,2.900386679290245,1.5768020153045654,0.0352445505559444,3.577577507411014
STGFORMER_FINAL,1.1066054105758667,0.0225229207426309,2.228057038499931,1.3153607845306396,0.0279081687331199,2.871498463450424,1.549392819404602,0.0344571471214294,3.541251678089373
STGFORMER_INTERNAL_DOW,1.1185884475708008,0.0232192445546388,2.2976569058009733,1.332358717918396,0.0288562104105949,2.9585207132088565,1.564895749092102,0.0352901183068752,3.6198679671261855
ABL_NO_XAVIER,1.122739315032959,0.0228299554437398,2.259696834113924,1.3363187313079834,0.0283597875386476,2.897998211003838,1.5762943029403689,0.0352449975907802,3.569042155103695
ABL_NO_DOW,1.124010443687439,0.0228763613849878,2.2611464861894364,1.3392878770828247,0.0285329725593328,2.9141479152403047,1.5840061902999878,0.0356199294328689,3.6092383949223743
ABL_NO_EXCLUDE_MISSING,1.1253681182861328,0.0233092810958623,2.2738479296213847,1.3376933336257937,0.0288171526044607,2.9139702094550994,1.5768049955368042,0.0354510992765426,3.592509710820399
ABL_NO_CHEB,1.1307812929153442,0.0230353157967329,2.287603336355675,1.3462282419204712,0.0286794658750295,2.937076294554532,1.5839135646820068,0.0354735478758811,3.601470085497504
ABL_NO_GRAPH,1.1580300331115725,0.0236071236431598,2.3771051814295263,1.419381618499756,0.03049380145967,3.147341705535223,1.7652945518493652,0.0406719967722892,4.069264575395696
ABL_NO_TEMPORAL,1.180229663848877,0.0244705379009246,2.376745084812663,1.3950709104537964,0.0299395695328712,3.0082641262501686,1.6368889808654783,0.0365940630435943,3.67646016287728
ABL_NO_TCN,1.1324658393859863,0.02314232476055622,2.316165802233834,1.3438971042633057,0.028845898807048798,2.9519371590580703,1.579970121383667,0.03572991490364075,3.610437542296802
